code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,disability,total_dataplus_clicks,total_dualpane_clicks,total_external_quiz_clicks,total_folder_clicks,total_forum_clicks,total_glossary_clicks,total_homepage_clicks,total_hrml_clicks,total_collaborate_clicks,total_content_clicks,total_elluminate_clicks,total_wiki_clicks,total_page_clicks,total_questionnaire_clicks,total_quiz_clicks,total_repeated_clicks,total_resource_clicks,total_shared_clicks,total_subpage_clicks,total_url_clicks,total_activities,total_clicks,label
AAA,2013-Oct,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,N,0,84,31,2,0,0,0,51,0,110,0,1,139,1,0,0,0,0,2,24,94,445,Pass
AAA,2013-Oct,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N,0,112,79,0,2,0,0,229,0,379,1,0,457,0,0,0,0,1,2,7,119,1269,Pass
AAA,2013-Oct,168936,F,West Midlands Region,Lower Than A Level,10-20%,35-55,N,1,35,16,6,2,0,0,256,0,109,0,0,224,0,0,0,1,0,1,8,87,659,Pass
AAA,2013-Oct,172112,M,Ireland,HE Qualification,0-10%,35-55,N,0,197,133,1,1,0,0,226,1,284,0,0,937,0,0,0,1,0,1,17,134,1799,Pass
AAA,2013-Oct,172797,F,Ireland,A Level or Equivalent,0-10%,35-55,N,0,106,20,6,2,0,0,273,1,416,0,0,785,0,0,0,1,0,2,21,115,1633,Pass
AAA,2013-Oct,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,N,0,242,172,6,0,2,0,2520,0,1107,0,0,1329,0,0,1,0,0,1,14,177,5394,Pass
AAA,2013-Oct,175392,M,North Region,HE Qualification,10-20%,35-55,N,0,140,110,6,1,0,0,1685,0,698,0,0,768,0,0,0,1,0,1,46,174,3456,Pass
AAA,2013-Oct,175932,M,North Western Region,HE Qualification,70-80%,35-55,N,0,112,28,14,1,0,0,206,0,280,1,0,942,1,0,0,0,0,1,8,121,1594,Pass
AAA,2013-Oct,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,N,0,23,1,1,1,0,0,13,0,33,1,0,65,0,1,0,0,0,2,1,37,142,Fail
AAA,2013-Oct,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,N,0,124,47,11,0,0,0,583,0,303,0,0,552,0,1,0,0,0,2,11,157,1634,Pass
AAA,2013-Oct,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,N,0,18,3,0,2,0,0,122,0,40,0,0,189,0,2,0,0,0,2,3,28,381,Withdrawn
AAA,2013-Oct,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,N,0,132,74,4,1,0,0,191,0,310,0,0,758,0,1,0,0,0,2,13,127,1486,Pass
AAA,2013-Oct,183947,M,London Region,A Level or Equivalent,10-20%,0-35,N,0,53,6,2,0,0,0,251,2,153,0,0,338,0,0,0,0,0,2,32,103,839,Pass
AAA,2013-Oct,184271,M,South West Region,HE Qualification,80-90%,35-55,N,0,27,3,19,1,0,0,65,0,226,0,0,710,0,2,0,0,0,1,8,93,1062,Pass
AAA,2013-Oct,185439,M,London Region,HE Qualification,10-20%,0-35,N,0,25,1,2,0,0,0,29,2,48,0,0,177,0,0,0,0,0,1,8,24,293,Fail
AAA,2013-Oct,186149,M,Scotland,HE Qualification,30-40%,35-55,N,0,83,57,3,1,0,0,236,0,320,0,1,661,0,0,0,0,0,1,11,116,1374,Pass
AAA,2013-Oct,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,N,0,578,340,6,1,0,0,2460,0,1767,0,1,1596,0,0,0,0,0,2,17,180,6768,Distinction
AAA,2013-Oct,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,0,79,55,1,1,0,0,134,0,193,0,0,231,1,0,0,0,1,2,1,39,699,Withdrawn
AAA,2013-Oct,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,N,0,122,76,12,0,0,0,328,0,343,0,1,476,0,0,1,0,0,2,7,124,1368,Pass
AAA,2013-Oct,192183,F,South West Region,Lower Than A Level,90-100%,0-35,N,1,180,145,18,1,0,0,250,0,605,0,0,1621,0,1,1,0,0,1,5,159,2829,Pass
AAA,2013-Oct,195262,M,London Region,A Level or Equivalent,90-100%,0-35,N,0,84,38,12,0,0,0,332,1,295,0,1,1081,0,0,1,0,0,2,14,82,1861,Withdrawn
AAA,2013-Oct,200860,M,London Region,Lower Than A Level,50-60%,35-55,N,1,60,2,1,1,0,0,112,1,124,0,1,46,0,0,0,0,0,1,11,90,361,Pass
AAA,2013-Oct,202635,F,Wales,A Level or Equivalent,30-40%,0-35,N,0,25,10,1,1,0,0,252,0,168,0,7,420,0,0,1,0,0,2,3,56,890,Withdrawn
AAA,2013-Oct,205350,M,South West Region,HE Qualification,80-90%,35-55,N,0,53,18,12,1,0,0,441,0,232,0,1,402,0,2,0,0,0,1,6,113,1169,Pass
AAA,2013-Oct,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,0,29,11,2,0,1,0,13,0,60,1,0,127,0,0,0,0,1,1,6,54,252,Fail
AAA,2013-Oct,227499,F,London Region,A Level or Equivalent,10-20%,35-55,N,0,72,86,10,2,0,0,1049,1,561,0,0,570,0,0,0,0,0,2,10,149,2363,Distinction
AAA,2013-Oct,227517,M,Ireland,HE Qualification,0-10%,0-35,N,0,110,18,2,0,0,0,183,0,146,0,0,419,0,0,0,1,0,1,9,104,889,Fail
AAA,2013-Oct,228082,M,London Region,HE Qualification,60-70%,0-35,N,0,58,1,3,0,0,0,20,1,46,0,0,51,0,0,0,0,0,1,14,77,195,Pass
AAA,2013-Oct,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,N,1,41,24,2,0,0,1,75,0,119,0,1,137,0,0,0,0,0,1,6,73,408,Pass
AAA,2013-Oct,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,0,47,18,2,0,0,0,49,1,123,0,0,266,0,0,0,1,0,2,4,68,513,Pass
AAA,2013-Oct,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,108,56,12,0,0,1,35,0,355,0,1,572,0,0,0,0,0,2,2,110,1144,Pass
AAA,2013-Oct,231554,M,London Region,A Level or Equivalent,40-50%,0-35,N,0,62,3,4,0,0,0,411,1,254,1,0,879,0,0,0,0,0,2,6,94,1623,Pass
AAA,2013-Oct,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,0,10,2,2,0,0,0,3,0,17,0,0,73,0,0,1,0,1,2,2,24,113,Withdrawn
AAA,2013-Oct,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,N,0,59,15,2,0,0,0,58,0,94,0,1,498,0,0,1,0,0,1,9,76,738,Pass
AAA,2013-Oct,238007,M,South Region,HE Qualification,90-100%,55<=,N,0,95,68,9,0,1,0,288,0,319,0,0,809,1,0,1,0,0,1,9,143,1601,Pass
AAA,2013-Oct,240712,M,London Region,HE Qualification,80-90%,0-35,N,0,22,2,2,0,0,0,13,1,58,0,0,207,0,1,0,0,0,1,3,46,310,Pass
AAA,2013-Oct,240884,M,South Region,A Level or Equivalent,90-100%,0-35,N,0,72,15,2,0,0,0,39,0,72,0,0,168,1,0,1,0,0,2,5,62,377,Pass
AAA,2013-Oct,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,N,0,56,20,14,1,1,0,176,0,269,0,0,817,0,0,1,0,0,1,5,133,1361,Pass
AAA,2013-Oct,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,N,0,108,48,5,2,0,1,173,0,445,0,0,843,0,0,0,0,0,1,21,138,1647,Fail
AAA,2013-Oct,242793,M,London Region,HE Qualification,20-30%,35-55,N,0,51,14,1,1,0,0,39,2,90,0,0,297,0,0,0,0,0,1,19,87,515,Pass
AAA,2013-Oct,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,N,0,142,39,1,1,0,0,65,1,170,0,0,543,0,1,1,0,0,2,15,93,981,Pass
AAA,2013-Oct,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,N,1,73,15,7,0,0,0,361,1,633,1,0,348,0,0,0,0,0,1,5,138,1446,Pass
AAA,2013-Oct,255548,M,Wales,Lower Than A Level,20-30%,35-55,N,1,198,123,1,1,0,0,253,3,488,0,0,812,0,0,1,0,0,1,7,157,1889,Pass
AAA,2013-Oct,256815,M,North Western Region,HE Qualification,10-20%,0-35,N,0,134,13,11,0,0,0,89,0,432,1,0,630,0,0,0,0,0,1,43,117,1354,Pass
AAA,2013-Oct,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,1,102,47,1,1,0,0,17,2,111,0,0,395,0,0,0,1,0,1,50,77,729,Pass
AAA,2013-Oct,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,1,156,0,3,2,1,0,1358,0,1115,0,0,1725,1,0,0,0,0,1,228,157,4591,Pass
AAA,2013-Oct,260355,F,London Region,A Level or Equivalent,80-90%,35-55,N,0,9,2,0,2,0,0,41,1,118,0,0,169,0,1,0,0,0,2,2,51,347,Withdrawn
AAA,2013-Oct,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,108,30,1,1,0,1,179,1,149,0,0,340,0,0,0,0,0,2,4,103,816,Pass
AAA,2013-Oct,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,N,0,197,109,0,2,0,0,411,0,459,1,0,588,0,0,0,0,0,2,10,158,1779,Pass
AAA,2013-Oct,268073,M,East Anglian Region,A Level or Equivalent,10-20%,35-55,N,0,135,89,9,1,1,0,1073,0,496,0,0,980,0,0,0,0,0,2,9,149,2795,Fail
AAA,2013-Oct,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,0,16,2,2,0,1,0,0,0,34,0,0,87,0,0,0,0,0,2,1,30,145,Withdrawn
AAA,2013-Oct,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,N,0,278,248,8,1,0,0,60,0,525,0,1,1554,0,1,0,0,0,2,9,143,2687,Pass
AAA,2013-Oct,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,N,0,129,0,1,1,0,0,255,4,314,0,0,817,0,0,0,0,0,2,7,87,1530,Withdrawn
AAA,2013-Oct,279572,M,London Region,Lower Than A Level,40-50%,0-35,N,1,49,1,2,0,0,0,78,1,153,1,0,600,0,0,0,0,0,1,10,80,897,Distinction
AAA,2013-Oct,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,N,0,39,6,1,1,0,0,33,0,73,0,1,289,0,0,0,0,0,2,8,74,453,Pass
AAA,2013-Oct,281250,M,Wales,Lower Than A Level,70-80%,35-55,N,1,16,0,1,1,0,0,12,0,19,0,0,16,1,0,1,0,0,1,6,39,75,Fail
AAA,2013-Oct,281589,M,North Western Region,HE Qualification,30-40%,0-35,N,0,0,0,2,0,0,0,0,0,5,1,0,6,0,0,0,0,0,1,2,11,17,Fail
AAA,2013-Oct,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,154,37,6,1,0,0,172,0,253,0,0,853,0,1,0,0,0,2,11,110,1490,Pass
AAA,2013-Oct,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,N,0,45,13,1,1,0,0,92,0,111,0,0,679,0,0,1,0,0,2,10,90,955,Pass
AAA,2013-Oct,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,15,1,2,0,1,0,17,0,83,0,0,239,0,0,1,0,0,2,0,65,361,Pass
AAA,2013-Oct,290201,M,Wales,A Level or Equivalent,20-30%,0-35,N,0,222,99,10,0,0,0,47,1,288,0,0,708,0,0,1,0,0,2,10,127,1388,Pass
AAA,2013-Oct,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,50,9,2,0,0,0,45,0,84,1,0,111,0,0,0,0,0,2,294,55,598,Pass
AAA,2013-Oct,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,N,0,222,135,8,1,0,0,2096,11,738,0,0,1070,0,0,1,0,0,2,17,188,4301,Distinction
AAA,2013-Oct,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,37,5,2,0,0,1,43,0,56,0,0,31,1,0,0,0,0,2,9,46,187,Pass
AAA,2013-Oct,294570,M,South East Region,HE Qualification,90-100%,55<=,N,0,29,2,4,0,1,0,203,0,352,0,0,786,0,0,1,0,0,1,26,112,1405,Pass
AAA,2013-Oct,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,N,0,49,33,7,0,0,0,4,0,184,0,0,465,0,0,1,0,0,2,0,84,745,Pass
AAA,2013-Oct,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,N,0,84,18,1,1,0,0,91,0,185,1,0,222,0,0,0,0,0,2,15,110,620,Fail
AAA,2013-Oct,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,N,0,12,2,15,0,1,0,206,0,288,0,0,1140,1,0,1,0,0,1,3,98,1670,Distinction
AAA,2013-Oct,298696,F,South East Region,HE Qualification,80-90%,0-35,N,0,49,9,4,1,0,0,14,0,88,0,0,181,0,1,0,0,0,1,27,81,375,Pass
AAA,2013-Oct,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,0,146,58,1,1,0,0,690,0,279,0,0,284,0,0,0,1,0,2,11,137,1473,Pass
AAA,2013-Oct,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,0,62,4,12,1,1,0,95,0,80,1,0,169,0,0,0,0,0,2,11,51,438,Fail
AAA,2013-Oct,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,N,0,15,0,2,0,0,0,26,0,29,1,0,42,1,0,0,0,0,2,1,23,119,Fail
AAA,2013-Oct,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,Y,0,14,0,3,0,0,0,22,0,164,0,0,689,1,0,0,1,1,1,6,77,902,Pass
AAA,2013-Oct,305539,F,Wales,Lower Than A Level,80-90%,0-35,N,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7,7,Withdrawn
AAA,2013-Oct,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,0,117,49,1,1,0,0,0,0,232,0,1,449,0,0,0,1,0,2,9,108,862,Pass
AAA,2013-Oct,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,0,22,3,10,1,1,0,16,0,204,0,0,593,0,0,1,0,0,2,10,86,863,Pass
AAA,2013-Oct,306897,F,London Region,A Level or Equivalent,10-20%,0-35,N,0,35,2,1,1,0,0,1194,1,504,0,0,167,0,0,0,0,0,2,10,119,1917,Pass
AAA,2013-Oct,307061,F,East Midlands Region,HE Qualification,10-20%,0-35,N,0,115,79,1,1,0,1,111,0,186,0,0,377,0,0,0,0,0,1,23,126,895,Pass
AAA,2013-Oct,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,98,14,2,0,0,0,203,0,284,0,0,637,1,0,0,1,0,2,3,111,1245,Pass
AAA,2013-Oct,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,N,0,190,96,9,0,1,0,101,0,360,0,0,1012,0,1,0,0,0,2,14,151,1786,Pass
AAA,2013-Oct,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,N,0,181,116,13,0,1,0,4595,0,3971,0,0,1557,1,0,1,0,0,1,13,167,10450,Distinction
AAA,2013-Oct,312782,M,South Region,A Level or Equivalent,90-100%,0-35,N,0,26,1,2,0,0,0,41,0,116,0,0,31,1,0,1,0,0,2,9,51,230,Pass
AAA,2013-Oct,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,N,0,67,1,1,1,1,0,136,0,392,0,0,284,0,1,0,0,0,1,24,111,909,Pass
AAA,2013-Oct,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,329,110,9,1,0,1,3357,1,888,0,1,1240,0,0,0,0,0,2,94,195,6033,Pass
AAA,2013-Oct,321942,M,South Region,HE Qualification,90-100%,55<=,N,0,288,213,13,0,1,0,4656,0,1782,0,0,1461,1,0,1,0,0,1,9,181,8426,Pass
AAA,2013-Oct,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,N,0,160,89,11,1,1,0,104,0,268,1,0,834,0,0,0,0,0,1,17,145,1487,Pass
