code_module,code_presentation,gender,region,highest_education,imd_band,age_band,disability,total_dataplus_clicks,total_dualpane_clicks,total_external_quiz_clicks,total_folder_clicks,total_forum_clicks,total_glossary_clicks,total_homepage_clicks,total_hrml_clicks,total_collaborate_clicks,total_content_clicks,total_elluminate_clicks,total_wiki_clicks,total_page_clicks,total_questionnaire_clicks,total_quiz_clicks,total_repeated_clicks,total_resource_clicks,total_shared_clicks,total_subpage_clicks,total_url_clicks,total_activities,total_clicks,label
0,1,1,5,0,3,0,0,0,63,1,5,0,0,0,387,0,455,1,0,628,0,0,0,0,0,2,12,138,1554,Pass
0,1,1,3,1,6,0,0,0,93,25,7,0,0,0,146,1,137,0,0,481,0,0,0,0,0,1,21,92,912,Pass
0,1,1,2,4,0,1,0,0,210,95,10,1,0,0,158,0,595,0,0,2612,0,0,0,1,0,1,35,163,3718,Pass
0,1,1,8,1,8,1,0,0,39,3,1,1,0,0,59,0,115,0,1,222,1,1,0,0,0,1,18,57,462,Withdrawn
0,1,1,1,2,2,0,0,1,37,0,2,0,0,1,65,1,122,0,0,294,0,0,0,0,0,1,6,64,530,Pass
0,1,1,0,1,8,1,0,0,136,53,1,1,1,0,6,0,178,0,0,429,0,1,0,0,0,1,41,117,848,Pass
0,1,0,0,1,9,1,0,0,120,51,13,2,1,0,192,0,415,0,2,1025,0,0,1,0,0,1,13,129,1836,Pass
0,1,1,12,2,6,1,0,1,215,116,17,1,0,0,699,0,894,0,0,1158,0,0,0,0,1,1,27,171,3130,Pass
0,1,0,4,4,1,1,0,0,143,40,0,2,0,0,1,0,117,0,0,223,0,0,0,1,0,1,20,60,548,Pass
0,1,1,12,1,6,1,0,0,54,30,7,1,0,0,98,0,194,0,2,736,0,0,0,0,1,1,21,134,1145,Pass
0,1,1,10,1,0,0,0,0,122,103,5,0,0,1,50,0,368,0,0,1078,0,0,1,0,0,1,2,118,1731,Pass
0,1,1,0,0,7,1,0,0,53,36,1,1,1,0,9,0,218,0,0,380,1,0,0,0,0,2,2,101,704,Pass
0,1,1,1,1,3,0,0,0,41,5,2,0,0,1,9,0,57,0,0,142,0,0,0,0,0,1,15,48,273,Pass
0,1,1,8,0,4,1,0,0,179,85,4,1,0,0,303,0,415,1,0,726,1,0,0,0,0,2,7,133,1724,Pass
0,1,0,1,0,4,0,0,0,85,25,1,1,0,1,145,0,288,1,0,612,0,0,0,0,0,2,16,115,1177,Pass
0,1,1,11,0,5,0,0,0,27,15,8,0,0,0,14,0,236,0,1,490,0,0,0,1,0,2,1,56,795,Withdrawn
0,1,0,0,2,8,1,0,1,40,2,6,2,1,0,45,0,77,0,0,240,0,1,0,0,0,1,6,61,422,Pass
0,1,0,7,0,9,1,0,0,38,0,24,2,0,0,16,0,438,0,4,1704,0,0,1,0,0,2,22,106,2251,Distinction
0,1,0,0,2,2,0,0,1,3,0,1,1,1,0,0,1,14,0,0,26,0,0,0,0,0,1,1,14,50,Withdrawn
0,1,0,7,2,9,1,1,1,41,12,0,2,0,0,14,0,45,0,0,86,0,0,1,0,1,0,3,40,206,Withdrawn
0,1,1,9,0,4,1,0,0,182,59,6,1,0,0,2498,0,975,1,0,1332,0,1,0,0,0,2,22,169,5079,Pass
0,1,0,1,0,3,0,0,0,82,27,8,1,0,1,763,0,221,0,0,440,0,0,0,0,0,2,16,121,1561,Pass
0,1,1,9,0,9,0,0,0,27,0,3,0,0,0,25,2,31,0,0,48,0,1,1,0,0,2,5,22,145,Withdrawn
0,1,0,4,0,5,1,0,0,158,103,17,2,0,0,329,0,458,0,1,782,0,0,0,0,0,2,11,151,1863,Pass
0,1,0,8,1,8,1,0,0,272,133,0,2,0,0,1859,1,972,0,0,1861,1,1,0,0,0,1,34,189,5137,Pass
0,1,1,9,1,6,0,0,0,18,0,2,0,0,0,49,0,85,0,0,209,0,1,0,0,0,1,10,49,375,Pass
0,1,0,11,0,2,0,1,0,40,5,1,1,0,0,58,1,123,0,0,278,0,0,0,1,1,1,9,55,519,Fail
0,1,1,4,2,6,0,0,1,33,3,2,0,0,0,53,0,119,0,0,163,0,0,0,0,0,1,2,69,377,Fail
0,1,0,4,2,8,0,0,1,17,0,1,1,0,0,52,0,32,0,0,35,0,1,0,0,0,1,2,21,143,Withdrawn
0,1,0,5,0,3,1,1,0,42,12,3,2,0,0,622,1,302,1,0,313,0,0,0,0,1,1,7,95,1307,Withdrawn
0,1,0,3,0,8,0,0,0,38,5,1,1,0,0,3,1,31,0,0,164,0,1,0,0,0,2,6,43,253,Pass
0,1,1,3,0,0,1,0,0,150,69,1,1,0,1,75,1,303,0,0,768,0,0,0,0,0,2,30,110,1401,Pass
0,1,0,1,0,2,1,0,0,60,4,40,2,0,1,637,1,880,0,0,1668,0,0,0,0,0,2,21,145,3316,Pass
0,1,0,0,2,7,0,0,1,65,36,1,1,1,0,124,0,122,0,0,244,1,0,0,0,0,1,4,72,601,Withdrawn
0,1,0,9,0,9,0,0,0,101,73,9,1,0,0,24,0,238,0,0,781,0,1,1,0,0,2,3,105,1234,Pass
0,1,1,1,0,4,1,0,0,66,38,1,1,0,1,71,1,171,1,0,464,0,0,0,0,0,2,1,68,818,Withdrawn
0,1,1,6,0,7,0,0,0,84,31,2,0,0,0,51,0,110,0,1,139,1,0,0,0,0,2,24,94,445,Pass
0,1,0,12,0,4,1,0,0,112,79,0,2,0,0,229,0,379,1,0,457,0,0,0,0,1,2,7,119,1269,Pass
0,1,0,11,2,1,1,0,1,35,16,6,2,0,0,256,0,109,0,0,224,0,0,0,1,0,1,8,87,659,Pass
0,1,1,2,1,0,1,0,0,197,133,1,1,0,0,226,1,284,0,0,937,0,0,0,1,0,1,17,134,1799,Pass
0,1,0,2,0,0,1,0,0,106,20,6,2,0,0,273,1,416,0,0,785,0,0,0,1,0,2,21,115,1633,Pass
0,1,1,0,1,9,2,0,0,242,172,6,0,2,0,2520,0,1107,0,0,1329,0,0,1,0,0,1,14,177,5394,Pass
0,1,1,4,1,1,1,0,0,140,110,6,1,0,0,1685,0,698,0,0,768,0,0,0,1,0,1,46,174,3456,Pass
0,1,1,5,1,7,1,0,0,112,28,14,1,0,0,206,0,280,1,0,942,1,0,0,0,0,1,8,121,1594,Pass
0,1,0,5,0,8,0,0,0,23,1,1,1,0,0,13,0,33,1,0,65,0,1,0,0,0,2,1,37,142,Fail
0,1,1,9,0,3,0,0,0,124,47,11,0,0,0,583,0,303,0,0,552,0,1,0,0,0,2,11,157,1634,Pass
0,1,0,9,0,8,1,0,0,18,3,0,2,0,0,122,0,40,0,0,189,0,2,0,0,0,2,3,28,381,Withdrawn
0,1,0,9,0,6,0,0,0,132,74,4,1,0,0,191,0,310,0,0,758,0,1,0,0,0,2,13,127,1486,Pass
0,1,1,3,0,1,0,0,0,53,6,2,0,0,0,251,2,153,0,0,338,0,0,0,0,0,2,32,103,839,Pass
0,1,1,9,1,8,1,0,0,27,3,19,1,0,0,65,0,226,0,0,710,0,2,0,0,0,1,8,93,1062,Pass
0,1,1,3,1,1,0,0,0,25,1,2,0,0,0,29,2,48,0,0,177,0,0,0,0,0,1,8,24,293,Fail
0,1,1,6,1,3,1,0,0,83,57,3,1,0,0,236,0,320,0,1,661,0,0,0,0,0,1,11,116,1374,Pass
0,1,1,7,0,5,1,0,0,578,340,6,1,0,0,2460,0,1767,0,1,1596,0,0,0,0,0,2,17,180,6768,Distinction
0,1,1,12,0,7,1,0,0,79,55,1,1,0,0,134,0,193,0,0,231,1,0,0,0,1,2,1,39,699,Withdrawn
0,1,1,6,0,9,0,0,0,122,76,12,0,0,0,328,0,343,0,1,476,0,0,1,0,0,2,7,124,1368,Pass
0,1,0,9,2,9,0,0,1,180,145,18,1,0,0,250,0,605,0,0,1621,0,1,1,0,0,1,5,159,2829,Pass
0,1,1,3,0,9,0,0,0,84,38,12,0,0,0,332,1,295,0,1,1081,0,0,1,0,0,2,14,82,1861,Withdrawn
0,1,1,3,2,5,1,0,1,60,2,1,1,0,0,112,1,124,0,1,46,0,0,0,0,0,1,11,90,361,Pass
0,1,0,10,0,3,0,0,0,25,10,1,1,0,0,252,0,168,0,7,420,0,0,1,0,0,2,3,56,890,Withdrawn
0,1,1,9,1,8,1,0,0,53,18,12,1,0,0,441,0,232,0,1,402,0,2,0,0,0,1,6,113,1169,Pass
0,1,1,0,0,4,0,1,0,29,11,2,0,1,0,13,0,60,1,0,127,0,0,0,0,1,1,6,54,252,Fail
0,1,0,3,0,1,1,0,0,72,86,10,2,0,0,1049,1,561,0,0,570,0,0,0,0,0,2,10,149,2363,Distinction
0,1,1,2,1,0,0,0,0,110,18,2,0,0,0,183,0,146,0,0,419,0,0,0,1,0,1,9,104,889,Fail
0,1,1,3,1,6,0,0,0,58,1,3,0,0,0,20,1,46,0,0,51,0,0,0,0,0,1,14,77,195,Pass
0,1,1,1,2,5,0,0,1,41,24,2,0,0,1,75,0,119,0,1,137,0,0,0,0,0,1,6,73,408,Pass
0,1,1,11,0,2,0,0,0,47,18,2,0,0,0,49,1,123,0,0,266,0,0,0,1,0,2,4,68,513,Pass
0,1,1,1,0,5,0,0,0,108,56,12,0,0,1,35,0,355,0,1,572,0,0,0,0,0,2,2,110,1144,Pass
0,1,1,3,0,4,0,0,0,62,3,4,0,0,0,411,1,254,1,0,879,0,0,0,0,0,2,6,94,1623,Pass
0,1,1,12,0,9,0,0,0,10,2,2,0,0,0,3,0,17,0,0,73,0,0,1,0,1,2,2,24,113,Withdrawn
0,1,1,6,4,9,0,0,0,59,15,2,0,0,0,58,0,94,0,1,498,0,0,1,0,0,1,9,76,738,Pass
0,1,1,8,1,9,2,0,0,95,68,9,0,1,0,288,0,319,0,0,809,1,0,1,0,0,1,9,143,1601,Pass
0,1,1,3,1,8,0,0,0,22,2,2,0,0,0,13,1,58,0,0,207,0,1,0,0,0,1,3,46,310,Pass
0,1,1,8,0,9,0,0,0,72,15,2,0,0,0,39,0,72,0,0,168,1,0,1,0,0,2,5,62,377,Pass
0,1,1,0,1,9,1,0,0,56,20,14,1,1,0,176,0,269,0,0,817,0,0,1,0,0,1,5,133,1361,Pass
0,1,0,1,1,6,1,0,0,108,48,5,2,0,1,173,0,445,0,0,843,0,0,0,0,0,1,21,138,1647,Fail
0,1,1,3,1,2,1,0,0,51,14,1,1,0,0,39,2,90,0,0,297,0,0,0,0,0,1,19,87,515,Pass
0,1,1,9,0,9,1,0,0,142,39,1,1,0,0,65,1,170,0,0,543,0,1,1,0,0,2,15,93,981,Pass
0,1,1,5,2,2,0,0,1,73,15,7,0,0,0,361,1,633,1,0,348,0,0,0,0,0,1,5,138,1446,Pass
0,1,1,10,2,2,1,0,1,198,123,1,1,0,0,253,3,488,0,0,812,0,0,1,0,0,1,7,157,1889,Pass
0,1,1,5,1,1,0,0,0,134,13,11,0,0,0,89,0,432,1,0,630,0,0,0,0,0,1,43,117,1354,Pass
0,1,0,11,2,3,0,0,1,102,47,1,1,0,0,17,2,111,0,0,395,0,0,0,1,0,1,50,77,729,Pass
0,1,0,0,2,7,1,0,1,156,0,3,2,1,0,1358,0,1115,0,0,1725,1,0,0,0,0,1,228,157,4591,Pass
0,1,0,3,0,8,1,0,0,9,2,0,2,0,0,41,1,118,0,0,169,0,1,0,0,0,2,2,51,347,Withdrawn
0,1,1,1,0,2,1,0,0,108,30,1,1,0,1,179,1,149,0,0,340,0,0,0,0,0,2,4,103,816,Pass
0,1,0,5,0,3,1,0,0,197,109,0,2,0,0,411,0,459,1,0,588,0,0,0,0,0,2,10,158,1779,Pass
0,1,1,0,0,1,1,0,0,135,89,9,1,1,0,1073,0,496,0,0,980,0,0,0,0,0,2,9,149,2795,Fail
0,1,1,0,0,3,0,0,0,16,2,2,0,1,0,0,0,34,0,0,87,0,0,0,0,0,2,1,30,145,Withdrawn
0,1,1,6,0,8,1,0,0,278,248,8,1,0,0,60,0,525,0,1,1554,0,1,0,0,0,2,9,143,2687,Pass
0,1,0,7,0,6,0,0,0,129,0,1,1,0,0,255,4,314,0,0,817,0,0,0,0,0,2,7,87,1530,Withdrawn
0,1,1,3,2,4,0,0,1,49,1,2,0,0,0,78,1,153,1,0,600,0,0,0,0,0,1,10,80,897,Distinction
0,1,0,6,0,3,0,0,0,39,6,1,1,0,0,33,0,73,0,1,289,0,0,0,0,0,2,8,74,453,Pass
0,1,1,10,2,7,1,0,1,16,0,1,1,0,0,12,0,19,0,0,16,1,0,1,0,0,1,6,39,75,Fail
0,1,1,5,1,3,0,0,0,0,0,2,0,0,0,0,0,5,1,0,6,0,0,0,0,0,1,2,11,17,Fail
0,1,1,9,0,3,1,0,0,154,37,6,1,0,0,172,0,253,0,0,853,0,1,0,0,0,2,11,110,1490,Pass
0,1,1,7,0,9,1,0,0,45,13,1,1,0,0,92,0,111,0,0,679,0,0,1,0,0,2,10,90,955,Pass
0,1,1,0,0,9,0,0,0,15,1,2,0,1,0,17,0,83,0,0,239,0,0,1,0,0,2,0,65,361,Pass
0,1,1,10,0,2,0,0,0,222,99,10,0,0,0,47,1,288,0,0,708,0,0,1,0,0,2,10,127,1388,Pass
0,1,1,5,0,3,0,0,0,50,9,2,0,0,0,45,0,84,1,0,111,0,0,0,0,0,2,294,55,598,Pass
0,1,1,7,0,9,1,0,0,222,135,8,1,0,0,2096,11,738,0,0,1070,0,0,1,0,0,2,17,188,4301,Distinction
0,1,1,1,0,7,0,0,0,37,5,2,0,0,1,43,0,56,0,0,31,1,0,0,0,0,2,9,46,187,Pass
0,1,1,7,1,9,2,0,0,29,2,4,0,1,0,203,0,352,0,0,786,0,0,1,0,0,1,26,112,1405,Pass
0,1,1,7,0,9,0,0,0,49,33,7,0,0,0,4,0,184,0,0,465,0,0,1,0,0,2,0,84,745,Pass
0,1,1,7,0,4,1,0,0,84,18,1,1,0,0,91,0,185,1,0,222,0,0,0,0,0,2,15,110,620,Fail
0,1,1,8,4,9,2,0,0,12,2,15,0,1,0,206,0,288,0,0,1140,1,0,1,0,0,1,3,98,1670,Distinction
0,1,0,7,1,8,0,0,0,49,9,4,1,0,0,14,0,88,0,0,181,0,1,0,0,0,1,27,81,375,Pass
0,1,1,11,0,3,1,0,0,146,58,1,1,0,0,690,0,279,0,0,284,0,0,0,1,0,2,11,137,1473,Pass
0,1,0,0,0,4,0,0,0,62,4,12,1,1,0,95,0,80,1,0,169,0,0,0,0,0,2,11,51,438,Fail
0,1,1,5,0,7,0,0,0,15,0,2,0,0,0,26,0,29,1,0,42,1,0,0,0,0,2,1,23,119,Fail
0,1,1,11,0,7,0,1,0,14,0,3,0,0,0,22,0,164,0,0,689,1,0,0,1,1,1,6,77,902,Pass
0,1,0,10,2,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7,7,Withdrawn
0,1,1,11,0,5,1,0,0,117,49,1,1,0,0,0,0,232,0,1,449,0,0,0,1,0,2,9,108,862,Pass
0,1,1,0,0,9,1,0,0,22,3,10,1,1,0,16,0,204,0,0,593,0,0,1,0,0,2,10,86,863,Pass
0,1,0,3,0,1,0,0,0,35,2,1,1,0,0,1194,1,504,0,0,167,0,0,0,0,0,2,10,119,1917,Pass
0,1,0,1,1,1,0,0,0,115,79,1,1,0,1,111,0,186,0,0,377,0,0,0,0,0,1,23,126,895,Pass
0,1,1,11,0,7,0,0,0,98,14,2,0,0,0,203,0,284,0,0,637,1,0,0,1,0,2,3,111,1245,Pass
0,1,1,9,0,6,2,0,0,190,96,9,0,1,0,101,0,360,0,0,1012,0,1,0,0,0,2,14,151,1786,Pass
0,1,1,8,4,9,2,0,0,181,116,13,0,1,0,4595,0,3971,0,0,1557,1,0,1,0,0,1,13,167,10450,Distinction
0,1,1,8,0,9,0,0,0,26,1,2,0,0,0,41,0,116,0,0,31,1,0,1,0,0,2,9,51,230,Pass
0,1,0,0,1,8,0,0,0,67,1,1,1,1,0,136,0,392,0,0,284,0,1,0,0,0,1,24,111,909,Pass
0,1,0,1,0,5,0,0,0,329,110,9,1,0,1,3357,1,888,0,1,1240,0,0,0,0,0,2,94,195,6033,Pass
0,1,1,8,1,9,2,0,0,288,213,13,0,1,0,4656,0,1782,0,0,1461,1,0,1,0,0,1,9,181,8426,Pass
0,1,1,0,1,4,1,0,0,160,89,11,1,1,0,104,0,268,1,0,834,0,0,0,0,0,1,17,145,1487,Pass
0,1,0,9,0,1,1,0,0,25,0,15,2,0,0,293,0,383,0,0,958,0,1,0,0,0,2,8,115,1687,Pass
0,1,1,7,0,9,0,0,0,7,1,2,0,0,0,25,0,49,0,0,17,0,0,1,0,0,2,1,42,105,Pass
0,1,0,8,1,9,1,0,0,36,7,6,2,0,0,493,0,204,0,0,527,1,0,1,0,0,1,47,41,1325,Withdrawn
0,1,0,0,0,6,1,0,0,49,22,3,2,1,0,771,0,190,0,0,327,0,0,0,0,0,2,9,113,1376,Pass
0,1,1,6,0,2,0,0,0,44,4,2,0,0,0,1,2,64,0,1,162,0,0,0,0,0,2,9,52,291,Pass
0,1,1,6,1,8,0,0,0,48,7,2,0,0,0,134,0,110,0,1,271,0,1,0,0,0,1,8,65,583,Pass
0,1,0,3,0,5,0,0,0,33,1,1,1,0,0,53,1,52,0,1,75,0,0,0,0,0,2,6,41,226,Fail
0,1,0,9,0,0,0,1,0,12,4,1,1,0,1,16,0,43,0,0,47,0,1,0,0,1,1,8,28,136,Withdrawn
0,1,0,7,0,2,0,0,0,84,50,1,1,0,0,741,1,398,0,0,294,0,0,0,0,0,2,2,94,1574,Withdrawn
0,1,1,0,0,9,0,0,0,107,11,22,0,1,0,48,0,224,0,0,609,0,0,1,0,0,2,6,108,1031,Pass
0,1,1,4,0,8,0,0,0,33,4,2,0,0,0,0,0,42,0,0,167,0,1,0,0,0,2,1,53,252,Pass
0,1,1,0,2,4,0,0,1,42,3,2,0,1,0,25,0,71,1,0,54,0,0,0,0,0,1,7,62,208,Fail
0,1,0,11,1,7,0,0,0,71,37,1,1,0,0,46,0,143,0,0,257,1,0,0,1,0,1,2,34,561,Withdrawn
0,1,1,6,2,5,2,0,1,106,75,7,0,1,0,91,0,224,0,2,1021,0,0,0,0,0,1,1,112,1530,Pass
0,1,1,12,1,0,0,0,0,59,31,2,0,0,1,143,0,165,0,0,169,0,0,0,0,1,1,5,99,577,Pass
0,1,1,2,1,7,1,0,0,107,31,4,1,0,0,1537,0,636,0,0,845,1,0,0,0,0,1,13,141,3176,Pass
0,1,1,12,0,1,0,0,0,14,0,2,0,0,0,1,0,13,0,0,14,0,0,0,0,1,2,4,44,51,Fail
0,1,1,0,0,6,0,1,0,73,5,6,0,1,0,6,0,78,0,0,365,0,0,0,0,1,1,6,64,542,Pass
0,1,1,12,0,3,0,0,0,116,72,10,0,0,0,325,0,351,0,0,971,0,0,0,0,1,2,6,156,1854,Distinction
0,1,1,0,0,5,0,0,0,63,3,2,0,1,0,127,0,204,0,1,92,0,0,0,0,0,2,9,96,504,Pass
0,1,0,6,1,5,1,0,0,15,3,0,2,0,0,0,0,25,0,2,91,0,0,0,0,0,1,2,18,141,Fail
0,1,1,5,1,8,1,0,0,91,5,6,1,0,0,42,0,130,1,0,372,0,1,0,0,0,1,32,104,682,Pass
0,1,1,8,1,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,7,7,Withdrawn
0,1,1,12,0,1,0,0,0,37,5,2,0,0,0,5,2,53,0,0,37,0,0,0,0,1,2,9,41,153,Fail
0,1,1,0,2,7,1,0,1,41,27,1,1,1,0,1,0,103,0,0,497,1,0,0,0,0,1,4,75,679,Fail
0,1,0,3,0,0,0,0,0,54,20,8,1,0,1,186,1,99,0,0,177,0,0,0,0,0,2,9,99,558,Pass
0,1,1,0,2,1,1,0,1,94,23,6,1,1,0,419,1,573,0,0,522,0,0,0,0,0,1,27,153,1669,Pass
0,1,1,9,1,4,0,0,0,107,68,21,0,0,0,13,0,341,1,0,676,0,1,0,0,0,1,4,119,1233,Pass
0,1,0,9,0,5,0,1,0,51,5,1,1,0,0,45,0,82,0,1,148,0,1,0,0,1,1,29,73,366,Pass
0,1,1,10,1,5,1,0,0,43,11,1,1,0,0,71,0,50,0,1,41,0,0,1,0,0,1,14,66,235,Fail
0,1,1,12,2,0,0,0,1,49,10,2,0,0,1,25,0,76,0,0,278,0,0,0,0,1,1,6,76,450,Pass
0,1,1,4,1,1,0,0,0,76,33,2,0,0,0,728,0,505,0,0,270,0,0,0,1,0,1,14,131,1630,Distinction
0,1,0,8,0,8,1,0,0,175,110,16,2,0,0,195,0,457,0,0,1268,1,1,0,0,0,2,14,147,2241,Pass
0,1,1,1,0,8,0,0,0,60,1,2,0,0,1,55,0,224,0,0,488,0,1,0,0,0,2,10,87,844,Pass
0,1,1,12,0,9,0,0,0,82,36,2,0,0,0,12,0,131,0,0,220,0,0,1,0,1,2,2,87,489,Pass
0,1,1,2,2,0,0,0,1,28,9,2,0,0,0,8,0,60,0,0,43,0,0,0,1,0,1,5,63,158,Pass
0,1,1,12,0,7,0,0,0,52,1,2,0,0,0,48,0,263,0,0,280,1,0,0,0,1,2,8,106,658,Pass
0,1,0,3,2,8,1,0,1,46,8,0,2,0,0,159,1,135,0,0,141,0,1,0,0,0,1,10,79,505,Pass
0,1,1,9,0,9,1,0,0,46,8,1,1,0,0,159,0,140,0,0,334,0,1,1,0,0,2,10,85,703,Pass
0,1,1,6,0,0,0,0,0,55,21,5,0,0,1,20,0,109,0,1,197,0,0,0,0,0,2,14,65,425,Withdrawn
0,1,1,11,0,7,0,0,0,15,1,2,0,0,0,42,0,91,0,0,161,1,0,0,1,0,2,9,66,325,Fail
0,1,0,5,0,5,1,0,0,109,23,7,2,0,0,1172,0,639,1,1,779,0,0,0,0,0,2,19,148,2754,Pass
0,1,1,5,0,6,0,0,0,89,3,2,0,0,0,95,0,149,1,0,383,0,0,0,0,0,2,8,81,732,Pass
0,1,1,12,1,5,0,0,0,89,2,5,0,0,0,75,0,270,0,1,485,0,0,0,0,1,1,20,94,949,Pass
0,1,1,12,2,9,0,0,1,77,3,15,0,0,0,42,0,235,0,0,654,0,0,1,0,1,1,4,93,1034,Fail
0,1,0,7,2,8,0,0,1,68,26,1,1,0,0,112,2,182,0,0,329,0,1,0,0,0,1,17,101,741,Pass
0,1,1,9,2,5,1,0,1,58,43,1,1,0,0,28,1,248,0,1,689,0,1,0,0,0,1,2,96,1075,Pass
0,1,1,10,2,2,1,0,1,65,4,1,1,0,0,23,1,69,0,0,155,0,0,1,0,0,1,7,41,329,Pass
0,1,1,4,0,2,0,0,0,74,35,2,0,0,0,248,1,271,0,0,472,0,0,0,0,0,2,10,95,1115,Pass
0,1,1,12,0,5,0,0,0,56,3,2,0,0,0,43,0,201,0,1,403,0,0,0,0,1,2,12,89,724,Pass
0,1,1,11,1,0,1,0,0,65,20,1,1,0,1,136,0,146,0,0,363,0,0,0,1,0,1,15,59,750,Withdrawn
0,1,1,6,0,4,0,1,0,42,3,2,0,0,0,57,1,66,1,2,159,0,0,0,0,1,1,8,41,343,Fail
0,1,0,5,0,7,0,0,0,28,1,1,1,0,0,39,0,58,1,0,259,1,0,0,0,0,2,8,53,399,Pass
0,1,0,7,0,7,0,0,0,24,0,1,1,0,0,214,1,82,0,0,183,1,0,0,0,0,2,10,71,519,Pass
0,1,1,3,0,2,0,0,0,54,12,2,0,0,0,124,2,155,0,0,307,0,0,0,0,0,2,12,58,670,Pass
0,1,1,9,1,8,0,0,0,33,18,2,0,0,0,277,0,152,0,0,207,0,2,0,0,0,1,6,65,698,Withdrawn
0,1,1,3,1,3,0,0,0,51,24,14,0,0,0,153,1,272,0,0,588,0,0,0,0,0,1,3,121,1107,Distinction
0,1,1,7,1,9,1,0,0,19,5,1,1,0,0,32,0,51,0,0,237,0,0,1,0,0,1,3,25,351,Withdrawn
0,1,0,9,0,2,0,0,0,211,80,1,1,0,0,673,1,597,0,0,606,0,1,0,0,0,2,17,159,2190,Pass
0,1,0,4,0,8,0,0,0,6,0,1,1,0,0,12,0,9,0,0,17,0,1,0,0,0,2,1,11,50,Fail
